turns,balance,speed,y
2,15000,0,0
3,14964,3,3
4,14964,3,6
5,14964,3,9
6,14964,1,10
7,13401,4,14
8,13301,7,21
9,13301,7,28
10,13301,7,35
11,13077,10,45
12,13077,10,55
13,13077,1,56
14,12164,4,60
15,12164,4,64
16,12164,4,68
17,280,7,75
18,280,7,82
19,280,7,89
20,280,7,96
21,280,7,103
22,280,7,110
23,280,7,117
24,280,7,124
25,280,7,131
26,280,7,138
27,280,7,145
28,158,10,155
29,158,10,165
30,9,13,178
31,9,13,191
32,9,1,192
33,9,1,193
34,9,1,194
35,9,1,195
36,9,1,196
37,9,1,197
38,9,1,198
39,9,1,199
40,9,1,200
41,9,1,201
42,9,1,202
43,9,1,203
44,9,1,204
45,9,1,205
46,9,1,206
47,9,1,207
48,9,1,208
49,9,1,209
50,9,1,210
51,1,4,214
52,1,4,218
53,1,4,222
54,1,4,226
55,1,4,230
56,1,4,234
57,1,4,238
58,1,4,242
59,1,7,249
60,1,7,256
61,1,7,263
62,1,7,270
63,1,7,277
64,1,7,284
65,1,7,291
66,1,7,298
67,1,7,305
68,1,7,312
69,1,7,319
70,1,7,326
71,1,7,333
72,1,7,340
73,1,7,347
74,1,7,354
75,1,7,361
76,1,7,368
77,1,7,375
78,1,7,382
79,1,7,389
80,1,7,396
81,1,7,403
82,1,7,410
83,1,7,417
84,1,7,424
85,1,7,431
86,1,7,438
87,1,7,445
88,1,7,452
89,1,7,459
90,1,7,466
91,1,7,473
92,1,7,480
93,1,7,487
94,1,7,494
95,1,7,501
96,1,7,508
97,1,7,515
98,1,7,522
99,1,7,529
100,1,7,536
101,1,7,543
102,1,7,550
103,1,7,557
104,1,7,564
105,1,7,571
106,1,7,578
107,1,7,585
108,1,7,592
109,1,7,599
110,1,7,606
111,1,7,613
112,1,7,620
113,1,7,627
114,1,7,634
115,1,7,641
116,1,7,648
116,1,7,655
