turns,accelerateCost,shellCost
2,10,992
2,10,992
2,10,992
3,12,664
3,12,664
3,12,664
4,18,445
4,18,445
4,18,445
5,14,298
5,14,298
5,14,298
6,22,1481
6,22,1481
6,22,1481
7,27,7351
7,27,7351
7,27,7351
8,33,4925
8,33,4925
8,33,4925
9,33,3299
9,33,3299
9,33,3299
10,60,16375
10,60,16375
10,60,16375
11,74,10971
11,74,10971
11,74,10971
12,135,7351
12,135,7351
12,135,7351
13,246,36480
13,246,36480
13,246,36480
14,300,24441
14,300,24441
14,300,24441
15,300,16375
15,300,16375
15,300,16375
16,246,10971
16,246,10971
16,246,10971
17,300,54448
17,300,54448
17,300,54448
18,201,36480
18,201,36480
18,201,36480
19,201,24441
19,201,24441
19,201,24441
20,246,16375
20,246,16375
20,246,16375
21,164,10971
21,164,10971
21,164,10971
22,110,7351
22,110,7351
22,110,7351
23,74,4925
23,74,4925
23,74,4925
24,90,3299
24,90,3299
24,90,3299
25,60,2210
25,60,2210
25,60,2210
26,40,1481
26,40,1481
26,40,1481
27,33,992
27,33,992
27,33,992
28,40,664
28,40,664
28,40,664
29,40,445
29,40,445
29,40,445
30,49,298
30,49,298
30,49,298
31,49,200
31,49,200
31,49,200
32,60,992
32,60,992
32,60,992
33,40,664
33,40,664
33,40,664
34,90,445
34,90,445
34,90,445
35,60,298
35,60,298
35,60,298
36,49,200
36,49,200
36,49,200
37,110,992
37,110,992
37,110,992
38,74,664
38,74,664
38,74,664
39,49,445
39,49,445
39,49,445
40,33,298
40,33,298
40,33,298
41,22,200
41,22,200
41,22,200
42,14,133
42,14,133
42,14,133
43,18,664
43,18,664
43,18,664
44,14,445
44,14,445
44,14,445
45,10,298
45,10,298
45,10,298
46,6,200
46,6,200
46,6,200
47,5,133
47,5,133
47,5,133
48,4,89
48,4,89
48,4,89
49,3,60
49,3,60
49,3,60
50,2,40
50,2,40
50,2,40
51,3,27
51,3,27
51,3,27
52,2,18
52,2,18
52,2,18
53,1,12
53,1,12
53,1,12
54,1,8
54,1,8
54,1,8
55,1,5
55,1,5
55,1,5
56,0,3
56,0,3
56,0,3
57,0,2
57,0,2
57,0,2
58,0,1
58,0,1
58,0,1
59,0,1
59,0,1
59,0,1
60,0,0
60,0,0
60,0,0
61,1,0
61,1,0
61,1,0
62,1,0
62,1,0
62,1,0
63,0,1
63,0,1
63,0,1
64,1,8
64,1,8
64,1,8
65,0,5
65,0,5
65,0,5
66,1,27
66,1,27
66,1,27
67,0,18
67,0,18
67,0,18
68,3,12
68,3,12
68,3,12
69,2,8
69,2,8
69,2,8
70,3,40
70,3,40
70,3,40
71,14,27
71,14,27
71,14,27
72,10,18
72,10,18
72,10,18
73,8,12
73,8,12
73,8,12
74,6,8
74,6,8
74,6,8
75,8,5
75,8,5
75,8,5
76,5,3
76,5,3
76,5,3
77,5,2
77,5,2
77,5,2
78,6,12
78,6,12
78,6,12
79,4,8
79,4,8
79,4,8
80,3,5
80,3,5
80,3,5
81,3,200
81,3,200
81,3,200
82,2,133
82,2,133
82,2,133
83,1,89
83,1,89
83,1,89
84,1,3299
84,1,3299
84,1,3299
85,1,2210
85,1,2210
85,1,2210
86,1,1481
86,1,1481
86,1,1481
87,0,992
87,0,992
87,0,992
88,0,4925
88,0,4925
88,0,4925
89,0,3299
89,0,3299
89,0,3299
90,0,2210
90,0,2210
90,0,2210
91,0,1481
91,0,1481
91,0,1481
92,0,992
92,0,992
92,0,992
93,0,664
93,0,664
93,0,664
94,0,445
94,0,445
94,0,445
95,0,298
95,0,298
95,0,298
96,0,200
96,0,200
96,0,200
97,0,133
97,0,133
97,0,133
98,0,89
98,0,89
98,0,89
99,0,60
99,0,60
99,0,60
100,0,298
100,0,298
100,0,298
101,0,200
101,0,200
101,0,200
102,0,133
102,0,133
102,0,133
103,10,89
103,10,89
103,10,89
104,6,60
104,6,60
104,6,60
105,10,40
105,10,40
105,10,40
106,6,27
106,6,27
106,6,27
107,4,18
107,4,18
107,4,18
108,8,12
108,8,12
108,8,12
109,14,60
109,14,60
109,14,60
110,12,40
110,12,40
110,12,40
111,110,1481
111,110,1481
111,110,1481
112,74,992
112,74,992
112,74,992
113,110,664
113,110,664
113,110,664
114,74,445
114,74,445
114,74,445
115,49,298
115,49,298
115,49,298
116,60,200
116,60,200
116,60,200
116,60,200
116,60,200
116,60,200
