turns,acceleratesBought,shellsBought
2,1,0
2,1,0
2,1,0
3,4,0
3,4,0
3,4,0
4,8,0
4,8,0
4,8,0
5,9,0
5,9,0
5,9,0
6,13,1
6,13,1
6,13,1
7,16,2
7,16,2
7,16,2
8,19,2
8,19,2
8,19,2
9,21,2
9,21,2
9,21,2
10,26,3
10,26,3
10,26,3
11,29,3
11,29,3
11,29,3
12,34,3
12,34,3
12,34,3
13,39,4
13,39,4
13,39,4
14,42,4
14,42,4
14,42,4
15,44,4
15,44,4
15,44,4
16,45,4
16,45,4
16,45,4
17,48,5
17,48,5
17,48,5
18,48,5
18,48,5
18,48,5
19,50,5
19,50,5
19,50,5
20,53,5
20,53,5
20,53,5
21,53,5
21,53,5
21,53,5
22,53,5
22,53,5
22,53,5
23,53,5
23,53,5
23,53,5
24,56,5
24,56,5
24,56,5
25,56,5
25,56,5
25,56,5
26,56,5
26,56,5
26,56,5
27,57,5
27,57,5
27,57,5
28,60,5
28,60,5
28,60,5
29,62,5
29,62,5
29,62,5
30,65,5
30,65,5
30,65,5
31,67,5
31,67,5
31,67,5
32,70,6
32,70,6
32,70,6
33,70,6
33,70,6
33,70,6
34,76,6
34,76,6
34,76,6
35,76,6
35,76,6
35,76,6
36,77,6
36,77,6
36,77,6
37,83,7
37,83,7
37,83,7
38,83,7
38,83,7
38,83,7
39,83,7
39,83,7
39,83,7
40,83,7
40,83,7
40,83,7
41,83,7
41,83,7
41,83,7
42,83,7
42,83,7
42,83,7
43,86,8
43,86,8
43,86,8
44,87,8
44,87,8
44,87,8
45,87,8
45,87,8
45,87,8
46,87,8
46,87,8
46,87,8
47,88,8
47,88,8
47,88,8
48,89,8
48,89,8
48,89,8
49,89,8
49,89,8
49,89,8
50,90,8
50,90,8
50,90,8
51,93,8
51,93,8
51,93,8
52,94,8
52,94,8
52,94,8
53,94,8
53,94,8
53,94,8
54,95,8
54,95,8
54,95,8
55,96,8
55,96,8
55,96,8
56,97,8
56,97,8
56,97,8
57,97,8
57,97,8
57,97,8
58,98,8
58,98,8
58,98,8
59,101,8
59,101,8
59,101,8
60,102,8
60,102,8
60,102,8
61,109,8
61,109,8
61,109,8
62,111,8
62,111,8
62,111,8
63,111,9
63,111,9
63,111,9
64,114,10
64,114,10
64,114,10
65,115,10
65,115,10
65,115,10
66,119,11
66,119,11
66,119,11
67,119,11
67,119,11
67,119,11
68,128,11
68,128,11
68,128,11
69,128,11
69,128,11
69,128,11
70,131,12
70,131,12
70,131,12
71,141,12
71,141,12
71,141,12
72,141,12
72,141,12
72,141,12
73,142,12
73,142,12
73,142,12
74,143,12
74,143,12
74,143,12
75,146,12
75,146,12
75,146,12
76,146,12
76,146,12
76,146,12
77,148,12
77,148,12
77,148,12
78,151,13
78,151,13
78,151,13
79,151,13
79,151,13
79,151,13
80,151,13
80,151,13
80,151,13
81,153,15
81,153,15
81,153,15
82,153,15
82,153,15
82,153,15
83,153,15
83,153,15
83,153,15
84,155,17
84,155,17
84,155,17
85,157,17
85,157,17
85,157,17
86,159,17
86,159,17
86,159,17
87,159,17
87,159,17
87,159,17
88,161,18
88,161,18
88,161,18
89,161,18
89,161,18
89,161,18
90,163,18
90,163,18
90,163,18
91,166,18
91,166,18
91,166,18
92,166,18
92,166,18
92,166,18
93,169,18
93,169,18
93,169,18
94,172,18
94,172,18
94,172,18
95,172,18
95,172,18
95,172,18
96,176,18
96,176,18
96,176,18
97,178,18
97,178,18
97,178,18
98,180,18
98,180,18
98,180,18
99,180,18
99,180,18
99,180,18
100,185,19
100,185,19
100,185,19
101,185,19
101,185,19
101,185,19
102,186,19
102,186,19
102,186,19
103,203,19
103,203,19
103,203,19
104,203,19
104,203,19
104,203,19
105,207,19
105,207,19
105,207,19
106,207,19
106,207,19
106,207,19
107,207,19
107,207,19
107,207,19
108,212,19
108,212,19
108,212,19
109,217,20
109,217,20
109,217,20
110,218,20
110,218,20
110,218,20
111,231,22
111,231,22
111,231,22
112,231,22
112,231,22
112,231,22
113,235,22
113,235,22
113,235,22
114,235,22
114,235,22
114,235,22
115,235,22
115,235,22
115,235,22
116,238,22
116,238,22
116,238,22
116,238,22
116,238,22
116,238,22
